method,median,sd,min,max,Q1,Q3,se_est,n,n_diag,n_pts,matrix
pnorm_sparse,0.8038283266149937,0.000728956004592508,0.8021309599018586,0.8053021352712127,0.8032381319276134,0.8042098475871688,0.0019897278404539306,2048,,24576,fixed
tlr,0.8037578189931225,0.0009896712894678812,0.8013286449512016,0.8066042939787529,0.8032163007883352,0.8043599483650118,0.000961425545475336,2048,,24576,fixed
pnorm,0.8038445115089417,0.0002335091565523125,0.8030426502227783,0.8044028282165527,0.8036972880363464,0.8039761781692505,0.0006760750425746664,2048,,245760,fixed
pnorm_sparse,0.8038975263853436,0.00022650128239663634,0.8033617481264734,0.804340414377123,0.8037226854297983,0.8040319960911617,0.0006744867323342213,2048,,245760,fixed
tlr,0.8037546798724735,0.00029972055498190555,0.8031097260952276,0.8047401163260218,0.8036003549061839,0.8040041599578038,0.00028253910370625506,2048,,245760,fixed
pnorm,0.8295547068119049,0.0006286386412623533,0.8280897736549377,0.8309938311576843,0.829188197851181,0.8300250172615051,0.0020056870649568736,4096,,24576,fixed
pnorm_sparse,0.8296206989095796,0.0005700475279357286,0.8285165114650512,0.8314293397103216,0.8292271117997317,0.8300226086075819,0.0020008123956224,4096,,24576,fixed
tlr,0.8297149816493004,0.0010203979311387737,0.8271977599431114,0.8327617537152836,0.8289818104223458,0.8303346916464192,0.000974639553943482,4096,,24576,fixed
pnorm,0.8296528458595276,0.00016922562740664056,0.8292913436889648,0.8300278186798096,0.8295799493789673,0.8297821283340454,0.0006087085287435911,4096,,245760,fixed
pnorm_sparse,0.8296539882259981,0.0001993116547449024,0.8291666011739655,0.8303036956251955,0.8295344554987202,0.8297778589897359,0.0005789524815564451,4096,,245760,fixed
tlr,0.8296814059733348,0.00027594738854097096,0.8287659755289573,0.8302109070545785,0.829512371860655,0.8298753199471388,0.0002615027225961578,4096,,245760,fixed
