method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
mvnormcdf,0.25360468211967857,6.533675978818565e-5,0.2534188535597858,0.25375046569919046,0.25355895379589755,0.2536342203233129,0.00020083760211588017,1024,24576,sim2
tlr,0.2535856508948403,9.230548871517781e-5,0.2533621798973274,0.25382002489821687,0.2535234418766663,0.25364893052656307,0.00018341140621417487,1024,24576,sim2
pnorm,0.2535912046685252,2.3478471889609614e-5,0.25354165384020083,0.253653031723458,0.2535787560252073,0.2536115731650106,6.200897005848289e-5,1024,245760,sim2
mvnormcdf,0.25359130151167864,1.725916361532571e-5,0.2535461381289529,0.25362641199945146,0.2535807246344251,0.2536037213016511,5.463619381657727e-5,1024,245760,sim2
tlr,0.25358517423198257,2.700861016895989e-5,0.2535286687856237,0.25365127815070065,0.2535665431202634,0.25360486176992053,5.0829186172323594e-5,1024,245760,sim2
pnorm,0.2522449819081528,5.905050299916154e-5,0.25206632262152284,0.25239767287192755,0.252216757263085,0.25229514428383515,0.0001666891915041729,2048,24576,sim2
mvnormcdf,0.25224957011939386,5.49720156997776e-5,0.2521092506438919,0.25237518907939416,0.2522124908848272,0.25228656486739853,0.00017056151662407182,2048,24576,sim2
tlr,0.2522630868594783,8.378659706272046e-5,0.2520595492370629,0.2524713994331437,0.25220487978561235,0.25232460375675236,0.00015379444593057622,2048,24576,sim2
pnorm,0.25224330721956423,1.691630160098831e-5,0.2522116472929959,0.25228281094090876,0.2522332910342968,0.2522585508003663,4.737859496763095e-5,2048,245760,sim2
mvnormcdf,0.2522429124861689,1.680518419825319e-5,0.2521975353414916,0.2522754624336823,0.2522346183399193,0.2522550361002489,4.9673174673501e-5,2048,245760,sim2
tlr,0.2522445044759839,2.3311983544695108e-5,0.2521981671980419,0.25230926005831156,0.25222690877406473,0.2522584296905427,4.499383069267693e-5,2048,245760,sim2
pnorm,0.25138345671536144,4.7667219909096205e-5,0.25128269827474886,0.25150253016526675,0.25135314461999203,0.25141492496416284,0.00014042449604553247,4096,24576,sim2
mvnormcdf,0.25138086685987937,4.6602465565313656e-5,0.2512588730784058,0.2514749709541836,0.2513508808145753,0.2514141519659862,0.00013220011169264148,4096,24576,sim2
tlr,0.251379638582627,7.024836544995316e-5,0.25121068559991305,0.2515367235892855,0.2513307634081779,0.25142462461867654,0.00012984754141372797,4096,24576,sim2
