name,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10
000660.KS,-0.4277691653966692,-0.7925427410129138,-1.0953342363731775,-1.3740241204078458,-1.5978062608094692,-1.7878467377229976,-1.9185362483955595,-2.0202454542149066,-2.137032774969783,-2.224158808186101
SHL.DE,-0.822477300336165,-1.42228361075479,-1.8436130590624673,-2.2040200255656806,-2.450364868547843,-2.6054893739000407,-2.800848761234815,-3.084530655633356,-3.385125932283461,-3.385125932283461
MS,-0.6153727094988984,-1.0785757932471276,-1.4166035558479224,-1.7072208758585978,-1.908878878601049,-2.1243093055038123,-2.254532061700739,-2.346254695115646,-2.5053135990191526,-2.594184027828096
LIN,-0.8502835557876803,-1.427137391038705,-1.8297416731633558,-2.212742108953147,-2.4633754018317098,-2.7099735383976475,-2.8566037537823714,-2.9323172371449133,-3.029837028801329,-3.233360977747898
C,-0.6791893528224362,-1.1410203690473908,-1.470944931520739,-1.7376325685773681,-1.940643160106646,-2.1468007811965357,-2.289993113482879,-2.397302394269086,-2.4796305340295475,-2.5327638923707947
DIS,-0.7678516629586177,-1.31895372070737,-1.7138429247201876,-2.085667890622077,-2.3061161280083855,-2.4880103093564743,-2.6054369881979067,-2.7758695696819626,-2.8800482509373944,-3.233360977747898
AMGN,-0.7714600097251156,-1.3198690947478584,-1.710522524184857,-1.9965087461959663,-2.254532061700739,-2.4554858393650236,-2.6672960131867987,-2.8800482509373944,-3.0699424590340376,-3.6102880350485664
MC,-0.6318346820630671,-1.1215584236187766,-1.5344656434430828,-1.8534677611965276,-2.0746643775647797,-2.307167477346096,-2.4865499544824328,-2.741820093976406,-2.9295590485219525,-3.08483371156385
QCOM,-0.6093616479472168,-1.0703825220444665,-1.4207981810012416,-1.6783108283873305,-1.8744707076087233,-2.0405988435047373,-2.1996321818220173,-2.3710065740570783,-2.5053135990191526,-2.69519642312547
T,-0.8635650238787869,-1.441072670453997,-1.8216243417043299,-2.1545453337908858,-2.397302394269086,-2.6413291991609484,-2.794402495947033,-3.029837028801329,-3.169068054888483,-3.3146523927384957
SHOP,-0.4362254617749982,-0.790813571349808,-1.0635496556546427,-1.3056003355571166,-1.4983890577187298,-1.7456684033034955,-1.9780583315537639,-2.1807414432246643,-2.2824379521982796,-2.381933348815818
INTC,-0.6176905778975994,-1.0772052250074242,-1.441072670453997,-1.7463722339753438,-1.988140564040896,-2.182720074784711,-2.3710065740570783,-2.4965685244309896,-2.628985525095589,-2.7253672237986515
NEE,-0.9401358498765492,-1.5655707111011412,-1.9559891506883051,-2.269381363370994,-2.4554858393650236,-2.7099735383976475,-2.8346314809778623,-2.994082558905509,-3.233360977747898,-3.426366522732482
6758.T,-0.57724968918597,-1.0795445614075758,-1.5044298110831742,-1.8163540349365936,-2.0895248296803266,-2.2872515268614504,-2.477057029488441,-2.614566652354394,-2.81162825123693,-2.902932957925707
UBER,-0.4208727628819394,-0.8356509680882097,-1.1855831648188229,-1.4891599953508141,-1.73587873652857,-1.9576652973317379,-2.1555465458255503,-2.342593997356464,-2.3920089606908665,-2.5908074567677715
VZ,-0.8786911814575734,-1.4974688873291286,-1.9482588049604173,-2.2847486017027,-2.5521838702359307,-2.794402495947033,-3.115691259587702,-3.3146523927384957,-3.426366522732482,-3.426366522732482
83069.HK,-0.4818941324804449,-0.9891686273406354,-1.3839175536453674,-1.8255921789355714,-2.1853597613711933,-2.3519413061678938,-2.425670513098901,-2.569424549191219,-2.7069146484824484,-3.138561528867374
INTU,-0.7218148481659938,-1.1964169919606693,-1.504564214828356,-1.7734242477565312,-1.977195156806825,-2.162421309946964,-2.346254695115646,-2.4554858393650236,-2.6054369881979067,-2.7253672237986515
APH,-0.7627141515659707,-1.2736617995505293,-1.641821475008763,-1.9585921042501466,-2.212742108953147,-2.3710065740570783,-2.4880103093564743,-2.628985525095589,-2.7758695696819626,-2.8346314809778623
TJX,-0.7844299197455145,-1.3710401487362953,-1.801840037260218,-2.162421309946964,-2.411098038393774,-2.6170298751918515,-2.8346314809778623,-3.0699424590340376,-3.169068054888483,-3.169068054888483
NOW,-0.62077638821882,-1.0369386952916437,-1.3677891277076875,-1.6471420220914337,-1.9544517056174575,-2.161921028289015,-2.3485691236628012,-2.5187099774571347,-2.6418689920116813,-2.788189475498524
CBAT,-0.22565551866534836,-0.4673156280411809,-0.7403645927527059,-0.9902737156735674,-1.2134143298622486,-1.3803092923500446,-1.571347224405891,-1.7400946143655194,-1.8446170687332084,-1.9983430404870057
ALV,-0.684509545520515,-1.177038091871882,-1.5787623405952744,-1.8879666126483656,-2.1506569335814425,-2.346254695115646,-2.4965685244309896,-2.628985525095589,-2.794402495947033,-2.8800482509373944
GEV,-0.5367763324805568,-0.965916872532621,-1.2353392040059972,-1.5104622774465242,-1.7180977836522997,-1.9628689839520737,-2.0472651858962516,-2.1493999577098246,-2.3644125398393583,-2.4691348174000636
BKNG,-0.5992388627033558,-1.0168567228180703,-1.3226218743154,-1.5450140461773354,-1.7324518175544705,-1.8766963833712498,-1.9853818534307854,-2.1243093055038123,-2.2216980834854643,-2.328591520473661
SAN,-0.5814428276176002,-1.064960023862587,-1.426076872272847,-1.7393698948328384,-1.9826381702968612,-2.1953450008245587,-2.328591520473661,-2.4796305340295475,-2.6413291991609484,-2.7758695696819626
BLK,-0.7606647780599622,-1.2540660060515911,-1.6659002062330126,-1.9257410285043162,-2.1953450008245587,-2.346254695115646,-2.4880103093564743,-2.6672960131867987,-2.758243671798118,-2.9323172371449133
SCHW,-0.5701315627489014,-1.0155718660995054,-1.3769513235913298,-1.6613116868600473,-1.9508226498492451,-2.1910977943351524,-2.3774277410396354,-2.5234011779966083,-2.6413291991609484,-2.7758695696819626
GILD,-0.6835407999740589,-1.1839633063682107,-1.5564961754647542,-1.8338459686834898,-2.0375338396676974,-2.1953450008245587,-2.328591520473661,-2.425368421939968,-2.5726168960788374,-2.741435159375291
