Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
ISDMR,Iskenderun Demir ve Celik AS,0.0031%,Basic Materials,TR,"US$1,623,606.14","1,958,400",ISDMR.IS
3769,GMO Payment Gateway Inc,0.0031%,Industrials,JP,"US$1,621,133.48","25,197",376900.KQ
4631,DIC Corp,0.0031%,Basic Materials,JP,"US$1,625,675.10","65,400",4631.T
TITR,Telecom Italia SpA/Milano,0.0031%,Telecommunications,IT,"US$1,625,635.21","2,543,111",TITRM.XC
AMUN,Amundi SA,0.0031%,Financials,FR,"US$1,623,820.64","20,278",AMUN
ITCHOTEL,New Issuer: BB Company ID:183206,0.0031%,Consumer Discretionary,IN,"US$1,623,876.04","695,983",ITCHOTELS.NS
HOLMB,Holmen AB,0.0031%,Basic Materials,SE,"US$1,618,962.00","44,183",HOLMBS.XC
6674,GS Yuasa Corp,0.0031%,Consumer Discretionary,JP,"US$1,614,317.21","60,600",6674.TW
780,Tongcheng Travel Holdings Ltd,0.0031%,Consumer Discretionary,HK,"US$1,614,944.51","573,600",7801.TWO
168,Tsingtao Brewery Co Ltd,0.0031%,Consumer Staples,HK,"US$1,613,840.91","238,873",168360.KQ
AGL,AGL Energy Ltd,0.0031%,Utilities,AU,"US$1,608,958.06","261,003",AGL
SRCM,Shree Cement Ltd,0.0031%,Industrials,IN,"US$1,609,426.76","5,453",SRCMX
EDV,Endeavour Group Ltd/Australia,0.0031%,Consumer Staples,AU,"US$1,600,910.22","659,772",EDV
MBK,mBank SA,0.0031%,Financials,PL,"US$1,603,964.94","5,699",MBK.AX
1910,Samsonite International SA,0.0031%,Consumer Discretionary,HK,"US$1,598,387.54","647,135",OCA010.NZ
1929,Chow Tai Fook Jewellery Group Ltd,0.0031%,Consumer Discretionary,HK,"US$1,595,445.44","910,000",1929.T
MMHD,Menora Mivtachim Holdings Ltd,0.0031%,Financials,IL,"US$1,595,319.91","14,407",MMHD.TA
GPL,Godrej Properties Ltd,0.0031%,Real Estate,IN,"US$1,596,597.17","67,536",GPL.JO
2912,President Chain Store Corp,0.0031%,Consumer Staples,TW,"US$1,594,886.09","209,000",291230.KQ
3086,J Front Retailing Co Ltd,0.0031%,Consumer Discretionary,JP,"US$1,587,053.19","109,900",3086.HK
002371,NAURA Technology Group Co Ltd,0.0031%,Technology,CN,"US$1,585,341.67","26,190",002371.SZ
601985,China National Nuclear Power Co Ltd,0.0031%,Utilities,CN,"US$1,586,471.12","1,299,500",601985.SS
REY,Reply SpA,0.0031%,Technology,IT,"US$1,587,742.39","11,938",REY.MI
1504,Teco Electric and Machinery Co Ltd,0.003%,Industrials,TW,"US$1,576,001.27","564,000",1504.TW
688271,Shanghai United Imaging Healthcare Co Ltd,0.003%,Health Care,CN,"US$1,573,901.22","83,590",688271.SS
600320,Shanghai Zhenhua Heavy Industries Co Ltd,0.003%,Industrials,CN,"US$1,575,813.10","2,453,600",600320.SS
601375,Central China Securities Co Ltd,0.003%,Financials,CN,"US$1,572,694.67","2,597,500",601375.SS
TPW,Torrent Power Ltd,0.003%,Utilities,IN,"US$1,570,037.42","106,836",TPW.DU
GCARSOA1,Grupo Carso SAB de CV,0.003%,Industrials,MX,"US$1,564,289.79","229,600",GCARSOA1.MX
MARK,Masraf Al Rayan QSC,0.003%,Financials,QA,"US$1,566,463.56","2,615,082",MARK
5444,Yamato Kogyo Co Ltd,0.003%,Basic Materials,JP,"US$1,566,248.00","23,400",5444.T
NTGY,Naturgy Energy Group SA,0.003%,Utilities,ES,"US$1,562,403.50","50,764",NTGYE.XC
UI,Ubiquiti Inc,0.003%,Telecommunications,US,"US$1,562,098.11","2,679",UI
9899,Cloud Music Inc,0.003%,Consumer Discretionary,HK,"US$1,559,625.46","62,850",9899.HK
1942,Kandenko Co Ltd,0.003%,Industrials,JP,"US$1,556,852.29","49,100",1942.HK
JKCE,JK Cement Ltd,0.003%,Industrials,IN,"US$1,552,868.82","24,123",JKCEMENT.BO
8955,Japan Prime Realty Investment Corp,0.003%,Real Estate,JP,"US$1,551,755.21","2,278",8955.T
PAG,Page Industries Ltd,0.003%,Consumer Discretionary,IN,"US$1,544,409.85","3,605",PAG
STM,Seatrium Ltd,0.003%,Industrials,SG,"US$1,547,566.73","932,247",STM
YKBNK,Yapi ve Kredi Bankasi AS,0.003%,Financials,TR,"US$1,537,786.24","1,850,680",YKBNK.IS
ASAI3,Sendas Distribuidora S/A,0.0029%,Consumer Staples,BR,"US$1,527,768.87","863,828",ASAI3.SA
300476,Victory Giant Technology Huizhou Co Ltd,0.0029%,Technology,CN,"US$1,531,769.22","40,000",300476.SZ
ABB,ABB India Ltd,0.0029%,Industrials,IN,"US$1,526,219.29","26,380",ABBV
VMM,Vishal Mega Mart Ltd,0.0029%,Consumer Discretionary,IN,"US$1,526,370.90","1,005,376",VMM.AX
002916,Shennan Circuits Co Ltd,0.0029%,Technology,CN,"US$1,521,477.73","55,000",002916.SZ
GNP,Glenmark Pharmaceuticals Ltd,0.0029%,Health Care,IN,"US$1,517,621.51","69,750",GNPX
CDB,CELCOMDIGI BHD,0.0029%,Telecommunications,MY,"US$1,518,840.41","1,913,600",159650.SZ
CENOMICE,Arabian Centres Co,0.0029%,Real Estate,SA,"US$1,513,438.92","284,591",4321.SR
LTM,Latam Airlines Group SA,0.0029%,Consumer Discretionary,US,"US$1,510,756.52","31,324",LTM
HIK,Hikma Pharmaceuticals PLC,0.0029%,Health Care,GB,"US$1,508,439.41","73,259",3948.T
6526,Socionext Inc,0.0029%,Technology,JP,"US$1,506,347.97","105,600",6526.TW
NXSN,Next Vision Stabilized Systems Ltd,0.0029%,Industrials,IL,"US$1,505,287.20","34,855",NXSNF
960,Longfor Group Holdings Ltd,0.0029%,Real Estate,HK,"US$1,501,895.81","1,203,000",9600.T
AIRARABI,Air Arabia PJSC,0.0029%,Consumer Discretionary,AE,"US$1,502,957.62","1,283,753",AIRARABIA.AE
BLSTR,Blue Star Ltd,0.0029%,Industrials,IN,"US$1,502,753.64","76,140",BLUESTARCO.BO
SALIK,Salik Co PJSC,0.0029%,Industrials,AE,"US$1,499,879.65","959,727",SALIK.AE
WARBABAN,Warba Bank KSCP,0.0029%,Financials,KW,"US$1,497,488.18","1,579,567",WARBABANK.KW
6936,SF Holding Co Ltd,0.0029%,Industrials,HK,"US$1,498,186.40","326,000",6936.TW
WHC,Whitehaven Coal Ltd,0.0029%,Energy,AU,"US$1,495,631.39","329,094",WHC.AX
