Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B0LMTQ3,China Construction Bank Corp,939,0.10%,Diversified Banks,HK,---,"$73,181,616.57","69,465,026"
,2965839,CME Group Inc,CME,0.10%,Financial Exchanges & Data,US,---,"$72,993,836.40","259,340"
,2577609,CVS Health Corp,CVS,0.10%,Health Care Services,US,---,"$72,639,413.00","903,925"
,2126335,Bristol-Myers Squibb Co,BMY,0.10%,Pharmaceuticals,US,---,"$72,429,583.20","1,472,146"
,2829601,Southern Co/The,SO,0.10%,Electric Utilities,US,---,"$72,317,388.00","793,650"
,BPCPYT4,Brookfield Corp,BN,0.10%,Asset Management & Custody Banks,CA,---,"$71,979,122.87","1,530,775"
,2692632,Altria Group Inc,MO,0.09%,Tobacco,US,---,"$71,643,155.85","1,214,085"
,2842255,Starbucks Corp,SBUX,0.09%,Restaurants,US,---,"$71,525,498.34","821,094"
,6099626,Reliance Industries Ltd,RELIANCE,0.09%,Oil & Gas Refining & Marketing,IN,---,"$71,191,064.46","4,046,594"
,B23X1H3,MercadoLibre Inc,MELI,0.09%,Broadline Retail,US,---,"$70,589,688.16","34,072"
,6870490,Advantest Corp,6857,0.09%,Semiconductor Materials & Equipment,JP,---,"$70,569,453.46","530,356"
,2044545,Comcast Corp,CMCSA,0.09%,Cable & Satellite,US,---,"$70,475,051.76","2,640,504"
,BN7SWP6,GSK PLC,GSK,0.09%,Pharmaceuticals,GB,---,"$69,750,842.06","2,931,195"
,0798059,BP PLC,BP/,0.09%,Integrated Oil & Gas,GB,---,"$69,227,998.25","11,527,156"
,B7VD3F2,Duke Energy Corp,DUK,0.09%,Electric Utilities,US,---,"$69,226,439.12","558,548"
,2522096,Lockheed Martin Corp,LMT,0.09%,Aerospace & Defense,US,---,"$68,900,604.24","150,484"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.09%,Investment Banking & Brokerage,US,---,"$68,803,953.69","535,481"
,B94Q9V0,T-Mobile US Inc,TMUS,0.09%,Wireless Telecommunication Services,US,---,"$68,479,200.36","327,636"
,BK9ZQ96,Trane Technologies PLC,TT,0.09%,Building Products,US,---,"$67,747,430.76","160,737"
,BFZ1K46,Spotify Technology SA,SPOT,0.09%,Movies & Entertainment,US,---,"$66,585,360.95","111,185"
,BG0ZMJ9,Xiaomi Corp,1810,0.09%,"Technology Hardware, Storage & Peripherals",HK,---,"$66,481,671.43","12,506,600"
