This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
FAST;Fastenal Co;0.0787%;Industrials;US;US$62,630,706.00;1,550,265
CMG;Chipotle Mexican Grill Inc;0.0785%;Consumer Discretionary;US;US$62,524,798.76;1,811,263
OKE;ONEOK Inc;0.0778%;Energy;US;US$61,932,681.80;850,490
CTVA;Corteva Inc;0.0777%;Materials;US;US$61,909,797.30;917,590
AME;AMETEK Inc;0.0775%;Industrials;US;US$61,699,727.32;311,788
EA;Electronic Arts Inc;0.0772%;Communication Services;US;US$61,448,030.59;304,153
ROK;Rockwell Automation Inc;0.0755%;Industrials;US;US$60,104,611.38;151,833
MPWR;Monolithic Power Systems Inc;0.0754%;Information Technology;US;US$60,057,239.85;64,705
DHI;DR Horton Inc;0.0748%;Consumer Discretionary;US;US$59,576,117.69;374,669
RSG;Republic Services Inc;0.0747%;Industrials;US;US$59,488,331.84;274,064
CARR;Carrier Global Corp;0.0745%;Industrials;US;US$59,318,529.76;1,080,877
MSCI;MSCI Inc;0.074%;Financials;US;US$58,913,249.76;104,508
A;Agilent Technologies Inc;0.074%;Health Care;US;US$58,890,121.50;383,649
ETR;Entergy Corp;0.0738%;Utilities;US;US$58,789,541.92;602,846
FICO;Fair Isaac Corp;0.0736%;Information Technology;US;US$58,572,096.05;32,435
PSA;Public Storage;0.0735%;Real Estate;US;US$58,551,969.42;213,273
AMP;Ameriprise Financial Inc;0.0728%;Financials;US;US$57,994,282.22;127,253
MET;MetLife Inc;0.0726%;Financials;US;US$57,776,769.60;754,660
TTWO;Take-Two Interactive Software Inc;0.0724%;Communication Services;US;US$57,634,269.33;234,219
YUM;Yum! Brands Inc;0.0721%;Consumer Discretionary;US;US$57,440,573.94;374,914
AXON;Axon Enterprise Inc;0.0719%;Industrials;US;US$57,287,788.54;106,061
AIG;American International Group Inc;0.0716%;Financials;US;US$57,026,475.52;748,772
GWW;WW Grainger Inc;0.0708%;Industrials;US;US$56,383,721.31;59,437
PEG;Public Service Enterprise Group Inc;0.0707%;Utilities;US;US$56,301,416.64;674,107
DAL;Delta Air Lines Inc;0.0705%;Industrials;US;US$56,151,151.30;875,993
NDAQ;Nasdaq Inc;0.0699%;Financials;US;US$55,637,402.96;611,938
TGT;Target Corp;0.0698%;Consumer Staples;US;US$55,622,102.90;613,795
KR;Kroger Co/The;0.0694%;Consumer Staples;US;US$55,275,969.68;821,581
DELL;Dell Technologies Inc;0.0686%;Information Technology;US;US$54,604,824.75;409,485
CCI;Crown Castle Inc;0.0674%;Real Estate;US;US$53,699,202.48;588,291
VMC;Vulcan Materials Co;0.0666%;Materials;US;US$53,031,480.12;178,413
IQV;IQVIA Holdings Inc;0.0663%;Health Care;US;US$52,812,136.08;229,608
HIG;Hartford Financial Services Group Inc/The;0.0653%;Financials;US;US$52,030,702.09;379,703
PRU;Prudential Financial Inc;0.0647%;Financials;US;US$51,493,983.75;475,695
EQT;EQT Corp;0.0644%;Energy;US;US$51,304,553.98;842,993
CTSH;Cognizant Technology Solutions Corp;0.0644%;Information Technology;US;US$51,251,843.17;659,527
KDP;Keurig Dr Pepper Inc;0.0643%;Consumer Staples;US;US$51,190,473.60;1,834,784
EBAY;eBay Inc;0.0642%;Consumer Discretionary;US;US$51,100,637.28;617,232
TRGP;Targa Resources Corp;0.064%;Energy;US;US$50,949,293.44;290,624
MLM;Martin Marietta Materials Inc;0.0638%;Materials;US;US$50,805,901.56;81,519
RMD;ResMed Inc;0.0635%;Health Care;US;US$50,579,637.64;197,708
XYZ;Block Inc;0.0623%;Financials;US;US$49,590,917.20;742,379
VTR;Ventas Inc;0.0622%;Real Estate;US;US$49,494,241.72;613,844
NUE;Nucor Corp;0.0621%;Materials;US;US$49,435,520.40;309,960
GEHC;GE HealthCare Technologies Inc;0.0619%;Health Care;US;US$49,321,594.03;616,597
SYY;Sysco Corp;0.0617%;Consumer Staples;US;US$49,142,218.20;644,911
