This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
AEM;Agnico Eagle Mines Ltd;0.0914%;Basic Materials;CA;US$47,535,771.02;271,821
ORLY;O'Reilly Automotive Inc;0.0902%;Consumer Discretionary;US;US$46,908,209.70;461,241
8411;Mizuho Financial Group Inc;0.0897%;Financials;JP;US$46,678,149.05;1,330,920
BNS;Bank of Nova Scotia/The;0.0895%;Financials;CA;US$46,539,405.53;669,262
BNP;BNP Paribas SA;0.0894%;Financials;FR;US$46,504,826.83;543,783
ENR;Siemens Energy AG;0.0892%;Energy;DE;US$46,412,889.95;346,853
CDNS;Cadence Design Systems Inc;0.0889%;Technology;US;US$46,234,022.08;148,262
AMT;American Tower Corp;0.0886%;Real Estate;US;US$46,082,278.13;254,219
7974;Nintendo Co Ltd;0.088%;Consumer Discretionary;JP;US$45,792,810.00;538,100
WBC;Westpac Banking Corp;0.0877%;Financials;AU;US$45,639,798.93;1,851,399
KKR;KKR & Co Inc;0.0864%;Financials;US;US$44,952,716.61;367,531
HWM;Howmet Aerospace Inc;0.0862%;Industrials;US;US$44,863,722.74;219,286
REGN;Regeneron Pharmaceuticals Inc;0.0857%;Health Care;US;US$44,594,880.21;57,159
MUV2;Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen;0.0856%;Financials;DE;US$44,525,196.34;70,525
RMS;Hermes International SCA;0.0855%;Consumer Discretionary;FR;US$44,465,892.23;18,245
ICICIBC;ICICI Bank Ltd;0.0854%;Financials;IN;US$44,447,965.83;2,862,730
CRH;CRH PLC;0.0853%;Industrials;US;US$44,390,838.12;370,047
DBS;DBS Group Holdings Ltd;0.0847%;Financials;SG;US$44,078,956.11;1,053,300
WM;Waste Management Inc;0.0845%;Utilities;US;US$43,971,612.75;201,825
CM;Canadian Imperial Bank of Commerce;0.0844%;Financials;CA;US$43,920,736.40;506,726
BARC;Barclays PLC;0.0844%;Financials;GB;US$43,916,897.89;7,703,621
NAB;National Australia Bank Ltd;0.0842%;Financials;AU;US$43,816,918.53;1,666,196
7011;Mitsubishi Heavy Industries Ltd;0.0838%;Industrials;JP;US$43,592,787.57;1,723,500
BK;Bank of New York Mellon Corp/The;0.0838%;Financials;US;US$43,595,241.60;388,896
PRX;Prosus NV;0.0837%;Technology;NL;US$43,541,603.53;691,450
SHW;Sherwin-Williams Co/The;0.0835%;Industrials;US;US$43,431,761.61;126,369
SNOW;Snowflake Inc;0.082%;Technology;US;US$42,661,305.72;169,803
RHM;Rheinmetall AG;0.0819%;Industrials;DE;US$42,600,908.14;24,794
8058;Mitsubishi Corp;0.0815%;Industrials;JP;US$42,390,924.70;1,786,900
8001;ITOCHU Corp;0.0813%;Industrials;JP;US$42,304,440.88;705,300
LLOY;Lloyds Banking Group PLC;0.081%;Financials;GB;US$42,160,728.30;33,096,961
